Year,Month,Date,Total Population 15 Years Old and Over - Both sexes,Total Population 15 Years Old and Over - Male,Total Population 15 Years Old and Over - Female,Persons in the Labor Force - Both sexes,Persons in the Labor Force - Male,Persons in the Labor Force - Female,Employed Persons - Both sexes,Employed Persons - Male,Employed Persons - Female,Unemployed Persons - Both sexes,Unemployed Persons - Male,Unemployed Persons - Female,Underemployed Persons - Both sexes,Underemployed Persons - Male,Underemployed Persons - Female
2014,1,2014-01-01,61777,30760,31017,39387,23943,15444,36418,22045,14374,2969,1898,1070,7103,4860,2244
2014,4,2014-04-01,63772,31727,32045,41588,25137,16451,38664,23331,15333,2924,1806,1119,7027,4765,2262
2014,7,2014-07-01,64070,31925,32145,41231,25002,16229,38453,23242,15210,2778,1760,1019,7049,4823,2226
2014,10,2014-10-01,64257,32063,32193,41319,25141,16178,38837,23522,15315,2482,1618,864,7278,5008,2270
2015,1,2015-01-01,64591,32211,32380,41164,25073,16091,38461,23290,15172,2703,1784,919,6883,4743,2139
2015,4,2015-04-01,64802,32318,32484,41840,25260,16580,39158,23568,15591,2681,1692,989,6983,4774,2209
2015,7,2015-07-01,66613,33299,33314,41901,25362,16539,39177,23671,15506,2723,1691,1032,8220,5566,2654
2015,10,2015-10-01,66622,33284,33338,42146,25609,16536,39775,24106,15669,2371,1504,867,7020,4768,2252
2016,1,2016-01-01,67889,34022,33867,43144,26111,17033,40689,24542,16147,2455,1569,886,7975,5381,2594
2016,4,2016-04-01,68167,34035,34131,43289,26616,16674,40664,24955,15709,2625,1661,965,7431,5151,2279
2016,7,2016-07-01,68443,34205,34238,43286,26515,16771,40954,25104,15849,2332,1410,922,7134,4933,2201
2016,10,2016-10-01,68743,34474,34269,43724,26843,16882,41685,25538,16147,2040,1305,735,7510,5237,2273
2017,1,2017-01-01,69414,34751,34662,42109,26437,15672,39347,24514,14834,2761,1923,838,6398,4492,1906
2017,4,2017-04-01,69605,34804,34801,42714,26645,16069,40271,25088,15183,2443,1557,886,6468,4465,2003
2017,7,2017-07-01,70164,35136,35028,42544,26613,15932,40171,25093,15078,2373,1520,854,6541,4472,2069
2017,10,2017-10-01,70380,35324,35056,43732,26975,16757,41547,25573,15973,2185,1402,783,6616,4433,2183
2018,1,2018-01-01,70897,35520,35377,44075,27280,16795,41755,25760,15995,2320,1520,800,7498,5215,2283
2018,4,2018-04-01,71015,35590,35425,43257,26788,16469,40896,25307,15589,2361,1481,880,6935,4617,2318
2018,7,2018-07-01,71561,35876,35685,42979,26504,16475,40650,25081,15568,2329,1422,907,7003,4779,2224
2018,10,2018-10-01,71885,36141,35743,43528,26950,16579,41325,25548,15777,2203,1401,802,5502,3778,1724
2019,1,2019-01-01,71731,36036,35696,43209,26594,16615,40924,25120,15804,2286,1474,812,6310,4297,2012
2019,4,2019-04-01,71794,36003,35791,44038,27105,16934,41770,25678,16092,2268,1426,842,5567,3817,1750
2019,7,2019-07-01,72446,36384,36062,44959,27397,17562,42521,25922,16599,2437,1474,963,5799,3891,1908
2019,10,2019-10-01,72603,36470,36134,44582,27324,17258,42537,26071,16466,2045,1253,792,5438,3707,1731
2020,1,2020-01-01,72841,36571,36270,44934,27372,17562,42543,25860,16683,2391,1512,879,6299,4211,2088
2020,4,2020-04-01,73722,36957,36765,41058,25785,15273,33830,20944,12886,7228,4841,2387,6398,4370,2028
2020,7,2020-07-01,74060,37194,36867,45871,27998,17873,41302,25208,16094,4569,2790,1779,7136,4798,2338
2020,10,2020-10-01,74307,37397,36910,43649,27044,16605,39837,24705,15132,3813,2339,1473,5747,3933,1814
2021,1,2021-01-01,74733,37533,37200,45212,27753,17459,41248,25323,15925,3964,2430,1534,6589,4454,2135
2021,2,2021-02-01,74603,37420,37183,47341,28424,18917,43153,26037,17116,4187,2387,1800,7850,5281,2570
2021,3,2021-03-01,75029,37714,37315,48772,28946,19826,45332,27044,18287,3441,1902,1538,7335,4883,2453
2021,4,2021-04-01,74971,37636,37334,47407,28212,19195,43269,25827,17442,4138,2385,1753,7453,4904,2548
2021,5,2021-05-01,75044,37683,37360,48456,28698,19758,44717,26469,18248,3739,2229,1511,5491,3722,1769
2021,6,2021-06-01,75089,37694,37395,48846,28765,20081,45076,26802,18274,3770,1963,1807,6410,4149,2261
2021,7,2021-07-01,75574,37941,37633,44900,27293,17607,41671,25453,16218,3229,1840,1389,8769,5840,2929
2021,8,2021-08-01,75610,37955,37655,48113,28757,19356,44231,26486,17745,3882,2271,1611,6482,4380,2103
2021,9,2021-09-01,75570,37910,37660,47873,28627,19246,43593,26225,17368,4280,2402,1877,6183,4157,2025
2021,10,2021-10-01,75567,38027,37539,47325,28483,18842,43822,26422,17399,3504,2061,1443,7044,4764,2279
2021,11,2021-11-01,75701,38034,37666,48634,28955,19679,45474,27106,18369,3160,1850,1310,7618,4972,2646
2021,12,2021-12-01,76123,38204,37919,49558,29062,20497,46274,27212,19062,3284,1849,1434,6811,4540,2271
2022,1,2022-01-01,76347,38299,38048,46217,27900,18317,43264,26193,17072,2952,1707,1245,6431,4296,2135
2022,2,2022-02-01,76154,38309,37845,48606,28994,19612,45480,27286,18194,3126,1708,1418,6382,4158,2224
2022,3,2022-03-01,76256,38297,37959,49852,29471,20382,46975,27900,19075,2877,1570,1307,7422,4883,2539
2022,4,2022-04-01,76374,38341,38033,48394,28794,19600,45630,27144,18486,2763,1650,1113,6399,4180,2219
2022,5,2022-05-01,76532,38472,38060,49011,29048,19963,46084,27323,18761,2927,1725,1203,6668,4308,2360
2022,6,2022-06-01,76540,38343,38197,49581,29273,20308,46592,27691,18901,2990,1583,1407,5888,3904,1984
2022,7,2022-07-01,76639,38466,38174,49994,29404,20589,47391,27904,19487,2602,1500,1102,6543,4280,2262
2022,8,2022-08-01,76519,38368,38150,50552,29237,21315,47871,27787,20084,2681,1450,1231,7033,4587,2447
2022,9,2022-09-01,76832,38511,38321,50080,29088,20992,47583,27766,19817,2497,1323,1175,7326,4608,2718
2022,10,2022-10-01,76869,38664,38206,49304,28959,20345,47064,27665,19399,2240,1293,947,6665,4390,2275
2022,11,2022-11-01,76914,38568,38346,51882,29714,22168,49705,28435,21269,2177,1278,898,7160,4590,2570
2022,12,2022-12-01,77153,38715,38437,51220,29701,21519,49001,28547,20454,2219,1154,1065,6197,3958,2238
2023,1,2023-01-01,77105,38725,38379,49730,29113,20617,47352,27651,19701,2378,1462,916,6654,4442,2213
2023,2,2023-02-01,77004,38602,38402,51272,29743,21529,48797,28402,20395,2475,1342,1133,6287,4166,2120
2023,3,2023-03-01,77256,38746,38509,50998,29482,21516,48581,28218,20363,2417,1264,1152,5442,3584,1857
2023,4,2023-04-01,77260,38820,38440,50314,29270,21044,48058,27862,20196,2256,1408,848,6204,4055,2149
2023,5,2023-05-01,77170,38777,38393,50428,29287,21141,48260,28116,20145,2167,1171,996,5661,3762,1899
2023,6,2023-06-01,77440,38982,38458,51168,29660,21508,48841,28394,20447,2327,1265,1061,5875,3800,2075
2023,7,2023-07-01,78030,39132,38897,46845,28235,18610,44556,26928,17628,2289,1308,981,7069,4693,2376
2023,8,2023-08-01,77782,39001,38781,50292,29758,20534,48073,28555,19518,2219,1202,1016,5630,3742,1889
2023,9,2023-09-01,77954,39107,38848,49929,29203,20726,47666,28010,19656,2263,1193,1070,5112,3186,1927
2023,10,2023-10-01,77999,39171,38828,49878,29366,20512,47788,28135,19654,2089,1231,858,5597,3712,1885
2023,11,2023-11-01,78108,39301,38807,51469,29966,21503,49635,29004,20631,1833,961,872,5787,3596,2190
2023,12,2023-12-01,78212,39221,38991,52127,30187,21940,50525,29317,21208,1602,869,733,6010,3903,2107
2024,1,2024-01-01,78632,39425,39207,48060,28711,19348,45902,27445,18457,2157,1266,891,6297,4192,2104
2024,2,2024-02-01,78307,39225,39082,50746,29621,21125,48951,28638,20312,1796,983,813,6076,3961,2115
2024,3,2024-03-01,78315,39332,38982,51153,29659,21494,49153,28558,20595,2000,1101,899,5391,3531,1859
2024,4,2024-04-01,78618,39478,39140,50395,29591,20805,48354,28354,20001,2041,1237,804,7037,4529,2508
2024,5,2024-05-01,78635,39446,39189,50972,29637,21335,48865,28438,20427,2106,1199,907,4815,3131,1684
2024,6,2024-06-01,78639,39507,39132,51898,30043,21855,50278,29230,21049,1620,814,806,6083,3912,2170
2024,7,2024-07-01,78894,39588,39306,50059,29473,20586,47684,28168,19516,2375,1305,1070,5773,3798,1975
2024,8,2024-08-01,79040,39640,39401,51224,29655,21569,49154,28609,20545,2070,1046,1024,5484,3714,1769
2024,9,2024-09-01,78800,39457,39344,51766,29833,21932,49872,28872,21000,1893,961,932,5944,3794,2150
2024,10,2024-10-01,79221,39847,39374,50123,29603,20520,48157,28451,19706,1966,1152,814,6083,3985,2098
2024,11,2024-11-01,79288,39849,39439,51204,29940,21264,49541,28939,20602,1663,1001,661,5355,3471,1884
2024,12,2024-12-01,79535,39899,39636,51814,30141,21673,50185,29269,20917,1629,873,756,5481,3389,2092
